"Deskero Settings","Deskero Settings"
"Launch Deskero","Launch Deskero"
"Settings","Settings"
"General Setting","General Setting"
"Your Deskero Domain","Your Deskero Domain"
"Your Deskero Domain. Example: https://yourdomain.deskero.com","Your Deskero Domain. Example: https://yourdomain.deskero.com"
"Client ID","Client ID"
"Find your Client ID in Deskero on Settings > Security Settings > API management","Find your Client Id in Deskero on Settings > Security Settings > API management"
"API Token","API Token"
"Find your API Token in Deskero on Settings > Security Settings > API management","Find your API Token in Deskero on Settings > Security Settings > API management"
"Widget Setting","Widget Setting"
"Widget Active","Widget Active"
"If YES, the widget will be shown on all pages.","If YES, the widget will be shown on all pages."
"Widget Code","Widget Code"
"Login to Deskero, go to Settings > Feedback Widget and copy here your widget embed code.","Login to Deskero, go to Settings > Feedback Widget and copy here your widget embed code."
"SSO Setting","SSO Setting"
"SSO Token","SSO Token"
"Find your SSO Token in Deskero on Settings > Security Settings > Shared authentication","Find your SSO Token in Deskero on Settings > Security Settings > Shared authentication"
"Agent Email","Agent Email"
"Your Agent Email in Deskero","Your Agent Email in Deskero"
"New Ticket","New Ticket"
"Create Ticket","Create Ticket"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Subject","Subject"
"Type","Type"
"Description","Description"
"Ticket <b>#%s</b> has been created!","Ticket <b>#%s</b> has been created!"
"View ticket in Deskero","View ticket in Deskero"
"Error in ticket creation!","Error in ticket creation!"
"Customer not found!","Customer not found!"
"Can't connect to Deskero API!","Can't connect to Deskero API!"
"Oops! ","Oops! "
"Customer Email is required!","Customer Email is required!"
"Customer Email is not a valid address!","Customer Email is not a valid address!"
"Customer Name is required!","Customer Name is required!"
"Type is required!","Type is required!"
"Subject is required!","Subject is required!"
"Description is required!","Description is required!"
"No data sended!","No data sended!"
"To launch Deskero, set YOUR DESKERO DOMAIN, TOKEN SSO and AGENT EMAIL!","To launch Deskero, set YOUR DESKERO DOMAIN, TOKEN SSO and AGENT EMAIL!"
"To create a new ticket, set CLIENT ID and API TOKEN!","To create a new ticket, set CLIENT ID and API TOKEN!"
"Error in API connection! Please check your API configuration, or contact support@deskero.com","Error in API connection! Please check your API configuration, or contact support@deskero.com"
